rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,micro_h005_m005_eff04_hold6,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.05,0.02,0.05,0.0,True,1.0,1.0,0.04,6,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1013057.1018741663,0.01305710187416631,0.01104935676731944,0.020988894408831903,100,134,134,89998347.6189299,13057.101874165954,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,0.0023049338628595706,0.0023049338628595706,0.0021493024025154295,75,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,micro_h005_m015_eff04_hold6,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.05,0.02,0.15,0.0,True,1.0,1.0,0.04,6,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1013057.1018741663,0.01305710187416631,0.01104935676731944,0.020988894408831903,100,134,134,89998347.6189299,13057.101874165954,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,0.0023049338628595706,0.0023049338628595706,0.0021493024025154295,75,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
3,micro_h010_m015_eff04_hold6,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.1,0.04,0.15,0.0,True,1.0,1.0,0.04,6,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1013057.1018741663,0.01305710187416631,0.01104935676731944,0.020988894408831903,100,134,134,89998347.6189299,13057.101874165954,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,0.0023049338628595706,0.0023049338628595706,0.0021493024025154295,75,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
4,live_current_h025_m035_eff04_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1011109.6683314572,0.011109668331457101,0.011759144579079894,0.01740201763549708,100,114,114,76138484.481188,11109.668331457218,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.003232779020865051,0.003232779020865051,0.002916165484764144,55,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
5,fast6_h010_m015_eff04_hold8,AUDUSD EURUSD USDCAD USDCHF,6,18,5,0.1,0.04,0.15,0.0,True,1.0,1.0,0.04,8,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1014726.3646877026,0.01472636468770272,0.007181936576831194,0.024784569199547555,100,110,110,75128011.71950857,14726.364687701629,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.16666666666666663,0.0026760386322717267,0.0026760386322717267,0.0017605780286208406,61,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
6,fast6_h015_m025_eff04_hold8,AUDUSD EURUSD USDCAD USDCHF,6,18,5,0.15,0.06,0.25,0.0,True,1.0,1.0,0.04,8,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1014726.3646877026,0.01472636468770272,0.007181936576831194,0.024784569199547555,100,110,110,75128011.71950857,14726.364687701629,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.16666666666666663,0.0026760386322717267,0.0026760386322717267,0.0017605780286208406,61,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
7,fast6_h025_m035_eff04_hold10,AUDUSD EURUSD USDCAD USDCHF,6,18,5,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1016939.3965523124,0.016939396552312358,0.004676593419868702,0.028027742319543587,100,106,106,71954774.00874287,16939.396552312548,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.16666666666666663,0.002450385933913002,0.002450385933913002,0.0025078036899065514,56,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
8,micro_h010_m025_eff04_hold8,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.1,0.04,0.25,0.0,True,1.0,1.0,0.04,8,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1009437.5028416571,0.00943750284165712,0.012727058606378017,0.015637902355330992,100,120,120,79856182.49754864,9437.502841657439,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.002850237696741087,0.002850237696741087,0.001797512745574159,61,REJECT,False,non-negative fold fraction 66.7% is below 70.0%
9,micro_h015_m025_eff04_hold8,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.15,0.06,0.25,0.0,True,1.0,1.0,0.04,8,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1009437.5028416571,0.00943750284165712,0.012727058606378017,0.015637902355330992,100,120,120,79856182.49754864,9437.502841657439,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.002850237696741087,0.002850237696741087,0.001797512745574159,61,REJECT,False,non-negative fold fraction 66.7% is below 70.0%
