rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_cost_default_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1017483.769345692,0.017483769345691957,0.004565826668398998,0.03076341425458162,100,94,94,61320622.24571569,17483.76934569206,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,live_cost_slip050_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.5,1.0,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,982634.391570473,-0.017365608429527057,0.028518580308133146,-0.02210609479443272,100,274,274,188344859.7609206,-17365.608429525724,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.0015057235583520456,-0.0015057235583520456,0.005221603096104754,136,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,live_cost_slip025_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.25,1.0,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,960360.4332194972,-0.039639566780502844,0.04303035303397362,-0.04284477035833244,100,444,444,313620871.9017315,-39639.56678050149,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.0023590086861193793,-0.0023590086861193793,0.009388721305618852,222,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
4,live_cost_slip025_buf075_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.25,0.75,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,955474.188782651,-0.044525811217349,0.04757089519265445,-0.047430839110568966,100,494,494,343054997.4583252,-44525.81121734771,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.001948708571862634,-0.001948708571862634,0.010395352404010128,260,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,live_cost_slip000_buf075_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.0,0.75,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,948817.7215973338,-0.051182278402666204,0.05220398394454473,-0.06540665185219052,100,331,331,233193225.41024962,-51182.27840266604,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0032389146125081925,-0.0032389146125081925,0.0076991313431024055,290,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
