fold,train_start,train_end,test_start,test_end,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,evaluation_fills,full_run_fills,final_equity
1,2026-05-11T00:00:00+00:00,2026-05-24T23:15:00+00:00,2026-05-24T23:30:00+00:00,2026-05-26T23:15:00+00:00,-0.00012708703886576966,0.00014591282443454645,-0.06230819460377097,100,12,223,989594.9679628478
2,2026-05-13T00:00:00+00:00,2026-05-26T23:15:00+00:00,2026-05-26T23:30:00+00:00,2026-05-28T23:15:00+00:00,0.0009812293043016673,0.0013625575214998298,0.029008170919956857,100,28,196,991768.2568781308
3,2026-05-15T00:00:00+00:00,2026-05-28T23:15:00+00:00,2026-05-28T23:30:00+00:00,2026-06-01T23:00:00+00:00,-0.0028553357448791727,0.0033459889787563757,-0.15844285436077807,100,40,200,990925.4137536857
4,2026-05-18T23:45:00+00:00,2026-06-01T23:00:00+00:00,2026-06-01T23:15:00+00:00,2026-06-03T23:00:00+00:00,-0.00037546200979310385,0.00037546200979310385,-0.14537664276548495,100,12,146,993991.72865055
5,2026-05-20T23:45:00+00:00,2026-06-03T23:00:00+00:00,2026-06-03T23:15:00+00:00,2026-06-07T22:45:00+00:00,0.0008666254773448401,0.0010037675373982813,0.031350653519143484,100,20,130,997361.9465976631
6,2026-05-24T23:30:00+00:00,2026-06-07T22:45:00+00:00,2026-06-07T23:00:00+00:00,2026-06-09T22:45:00+00:00,-0.000659731766207261,0.0008365494422692965,-0.0833413685960281,100,20,124,997922.4787573509
