rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,score3_5_hold16_64,AUDUSD EURGBP EURUSD GBPUSD USDCHF,4,16,48,3.5,0.2,4.0,2.5,0.75,16,64,5.0,95.0,999099.4015109162,-0.0009005984890838592,0.0019979887638026383,-0.015495101854959116,0,617,617,15424272.701833436,-900.5984890839045,0.5,1.0,0.5,0.5,0.5,-3.839833046248575e-05,-3.839833046248575e-05,0.0006892052942796267,307,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,score4_hyper_filter,AUDUSD EURGBP EURUSD GBPUSD USDCHF,5,20,60,4.0,0.25,4.5,3.0,0.85,16,64,4.0,95.0,999208.8126422392,-0.0007911873577608475,0.0016423234095578332,-0.01463025985393097,0,476,476,11899282.00661804,-791.1873577610817,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00017278845942297894,-0.00017278845942297894,0.0005120665114234368,250,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
3,hyper_filtered_s3_00_hold4_20,AUDUSD EURGBP EURUSD GBPUSD USDCHF,4,12,36,3.0,0.25,3.75,2.25,0.7,4,20,5.0,95.0,997089.5812028005,-0.0029104187971994433,0.003469054978573083,-0.050382787198213756,0,1178,1178,29449798.83960384,-2910.4187972000445,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00022588516192451058,-0.00022588516192451058,0.0005611307450783531,598,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_pressure4,AUDUSD EURGBP EURUSD GBPUSD USDCHF,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,997277.5081991814,-0.002722491800818627,0.003365599477920478,-0.040588252131822385,0,1177,1177,29423972.39121641,-2722.491800818006,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0002439663313232865,-0.0002439663313232865,0.0005914312676285061,599,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,score3_short_exit,AUDUSD EURGBP EURUSD GBPUSD USDCHF,3,10,30,3.0,0.3,3.5,2.0,0.65,4,24,6.0,95.0,996298.8137668498,-0.003701186233150189,0.004080389664234185,-0.06568418234741012,0,1263,1263,31574315.567192666,-3701.1862331510965,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0002949158517757122,-0.0002949158517757122,0.000578957675552827,646,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
6,score3_hold8_36,AUDUSD EURGBP EURUSD GBPUSD USDCHF,3,10,30,3.0,0.2,3.5,2.0,0.55,8,36,8.0,95.0,995495.2216117281,-0.004504778388271902,0.0049415019931400295,-0.0740151186334168,0,1240,1240,30999260.405887134,-4504.778388271859,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.000375392834830901,-0.000375392834830901,0.0007784284217929871,650,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
7,current_pressure4,AUDUSD EURGBP EURUSD GBPUSD USDCHF,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,993350.1750969483,-0.006649824903051771,0.007077388631735015,-0.09466161547140287,0,2099,2099,52474869.05616783,-6649.824903051665,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0005055741977749162,-0.0005055741977749162,0.0008816759373302396,1060,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
