rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,min_macd_bps,min_histogram_slope_bps,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_h050_current,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.5,0.5,0.0,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1023997.7388139848,0.023997738813984704,0.006054040850929643,0.03879195568275993,100,86,86,57049160.12052798,23997.738813984997,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0018568261449091183,0.0018568261449091183,0.004052890728073799,47,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,live_h035_m050_s005_hold12,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.35,0.5,0.05,0.1,12,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1021983.5969599009,0.02198359695990093,0.005353836070649987,0.03698510728895402,100,82,82,54918164.051186636,21983.596959900053,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0017368724998670926,0.0017368724998670926,0.0036660245454485096,47,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
3,live_h025_m035_s005_eff08_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.35,0.05,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1018060.5901377528,0.018060590137752852,0.0045632515312111765,0.031811370188243863,100,90,90,59189851.091079235,18060.590137752773,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
4,live_h025_m035_s010_eff08_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.35,0.1,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1018525.165064755,0.0185251650647551,0.004561179611198507,0.03273783065193536,100,88,88,57591612.71850583,18525.16506475507,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016456455294793226,0.0016456455294793226,0.0028895651302365266,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
