rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,current_hours_10_14,AUDUSD USDCAD,8,21,8,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,10|11|12|13|14,100.0,1008983.7841716468,0.008983784171646914,0.0013484016744713667,0.05099788670360995,100,16,16,8530475.967091523,8983.784171646643,0.5,0.5,1.0,1.0,0.0,0.001059503951345686,0.0031910040367850723,0.0010060173813160045,12,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
2,hour15_current_h025_m035_eff04_hold10,AUDUSD USDCAD,8,21,8,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,10|11|12|13|14|15,100.0,1006886.8473575785,0.006886847357578496,0.0023473095032139346,0.03396835020344737,100,28,28,14930158.958646683,6886.847357577974,0.5,0.6666666666666666,0.75,0.8333333333333334,0.16666666666666663,0.0010605641506267194,0.002657808628275249,0.0010671913301235625,20,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
3,hour15_fast6_h025_m035_eff04_hold10,AUDUSD USDCAD,6,18,5,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,10|11|12|13|14|15,100.0,1004506.5832511651,0.004506583251165042,0.0013609943780629186,0.027118928309017243,100,16,16,8531716.703669967,4506.583251165023,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,0.16666666666666663,0.0,0.0017581743754890855,0.0010998064291266596,12,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
