rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_agree_true_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999371.6678098151,-0.0006283321901848771,0.0010063025400655068,-0.017926020679147326,0,200,200,8495523.191822175,-628.3321901847847,0.5,1.0,0.5,0.5,0.5,4.5609701043947126e-05,4.5609701043947126e-05,0.00019780836318561423,109,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,strict_agree_true_8_21_h075_m050_s000_hold16,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.75,0.125,0.5,0.0,True,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999471.0132042046,-0.0005289867957953831,0.0007366288971768498,-0.015223094392170606,0,193,193,8097482.061893841,-528.986795796424,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-1.5419008506267762e-05,-1.5419008506267762e-05,0.00027029523902522,109,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,live_agree_false_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,False,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,998136.5163826486,-0.0018634836173513358,0.0019347017439821368,-0.049085812272040875,0,251,251,10786009.04187662,-1863.4836173524084,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-2.3682259033264152e-05,-2.3682259033264152e-05,0.0003122410815968868,130,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
4,strict_agree_false_8_21_h075_m050_s000_hold16,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.75,0.125,0.5,0.0,False,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,95.0,998519.7003496398,-0.0014802996503602284,0.001549234859531401,-0.039740809279003614,0,237,237,10089750.818403248,-1480.2996503606669,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-5.73272813745862e-05,-5.73272813745862e-05,0.0003023358186078351,132,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
