rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,AUDUSD EURUSD,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,998618.8225824976,-0.0013811774175024327,0.0017930543844161262,-0.03642082917791524,0,491,491,12273702.031832932,-1381.1774175017,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-5.302961597108968e-05,-5.302961597108968e-05,0.0003741449567163935,248,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
2,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,AUDUSD EURUSD,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,998512.2808576933,-0.0014877191423067204,0.001925381310329266,-0.04010351648400344,0,504,504,12598632.545741543,-1487.7191423059503,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-6.546765175213798e-05,-6.546765175213798e-05,0.00037471181267267895,258,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,AUDUSD EURUSD,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,999278.9201113476,-0.0007210798886524428,0.0012641383402817175,-0.019800296809371395,0,368,368,9198980.674827274,-721.0798886515823,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.00010698243186069156,-0.00010698243186069156,0.00036133723313824806,204,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
4,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,AUDUSD EURUSD,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,997504.4976625914,-0.002495502337408584,0.0027799949167681692,-0.06476634854749,0,667,667,16674491.45310547,-2495.5023374087727,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00016199548845602374,-0.00016199548845602374,0.00037367238671559555,340,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,AUDUSD EURUSD,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,997014.2106174461,-0.002985789382553894,0.0030926483955174833,-0.07771865588534199,0,877,877,21924460.376705408,-2985.789382553914,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00019679284403761876,-0.00019679284403761876,0.0005787939273619314,444,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
