rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,min_macd_bps,min_histogram_slope_bps,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_micro_h035_s005,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.35,0.5,0.05,0.1,12,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999413.1229606476,-0.0005868770393524514,0.0007613087600730761,-0.017261298662657062,0,189,189,7996955.773265412,-586.87703935235,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-2.1068117622813354e-05,-2.1068117622813354e-05,0.00027029498239605765,108,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
2,live_current_h075,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.75,0.5,0.0,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999478.8304615772,-0.0005211695384228499,0.0007449075824035312,-0.015094193691049237,0,193,193,8097311.936797222,-521.169538422889,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-3.178331563236103e-05,-3.178331563236103e-05,0.00021689707475336384,109,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,live_relaxed_h050,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.5,0.5,0.0,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999478.8304615772,-0.0005211695384228499,0.0007449075824035312,-0.015094193691049237,0,193,193,8097311.936797222,-521.169538422889,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-3.178331563236103e-05,-3.178331563236103e-05,0.00021689707475336384,109,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
