rank,label,symbols,fast_lookback,slow_lookback,volatility_lookback,baseline_volatility_lookback,min_fast_move_bps,min_slow_move_bps,min_trend_efficiency,min_volatility_ratio,max_volatility_ratio,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,eurusd_current_10_14,EURUSD,6,24,12,48,2.0,5.0,0.25,0.35,2.5,24,10|11|12|13|14,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
2,eurusd_strict_10_14,EURUSD,8,32,16,64,2.5,7.0,0.35,0.4,1.8,16,10|11|12|13|14,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
3,eurusd_fast_10_14,EURUSD,4,16,8,48,1.5,3.5,0.15,0.25,2.25,12,10|11|12|13|14,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
4,eurusd_preopen_9_14_strict,EURUSD,8,32,16,64,2.5,7.0,0.35,0.4,1.8,16,9|10|11|12|13|14,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
5,eurusd_broad_10_16,EURUSD,6,24,12,48,2.0,5.0,0.25,0.35,2.5,16,10|11|12|13|14|15|16,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
6,eurusd_micro_10_14,EURUSD,4,14,8,48,1.0,2.5,0.1,0.15,2.5,10,10|11|12|13|14,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
