rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,USDCAD,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,999320.7649032448,-0.0006792350967551597,0.0008321309761187834,-0.05381386686366872,0,187,187,4675162.078450582,-679.2350967555763,0.5,1.0,0.5,0.5,0.5,-2.0543075075207806e-05,-2.0543075075207806e-05,0.00018480488772298909,93,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,USDCAD,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,998832.6255202002,-0.0011673744797997543,0.0012188377242864368,-0.09002936031432725,0,329,329,8225355.73514699,-1167.3744798001335,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-5.4923847176480134e-05,-5.4923847176480134e-05,0.00018064959229024957,155,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
3,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,USDCAD,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,998725.2594257415,-0.0012747405742584705,0.0013030389962478406,-0.0981222814316788,0,421,421,10525270.740836374,-1274.7405742588396,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-7.350694871677277e-05,-7.350694871677277e-05,0.000204734407993179,206,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,USDCAD,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,999284.0059988284,-0.0007159940011715049,0.0008396470933941247,-0.0552839556781365,0,237,237,5925234.737513643,-715.9940011712871,0.0,1.0,0.0,0.0,1.0,-6.373494961531279e-05,-6.373494961531279e-05,0.00016239819647345666,129,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
5,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,USDCAD,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,998791.4231073096,-0.0012085768926903828,0.0012503757549371386,-0.09646411446242287,0,268,268,6700244.447399236,-1208.5768926899516,0.0,1.0,0.0,0.0,1.0,-8.360513112987134e-05,-8.360513112987134e-05,0.00022683147787339042,141,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
