rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_cost_default_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999371.6678098151,-0.0006283321901848771,0.0010063025400655068,-0.017926020679147326,0,200,200,8495523.191822175,-628.3321901847847,0.5,1.0,0.5,0.5,0.5,4.5609701043947126e-05,4.5609701043947126e-05,0.00019780836318561423,109,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,live_cost_slip050_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.5,1.0,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,997364.0890435464,-0.0026359109564536576,0.0026359109564536576,-0.06190262680853536,0,543,543,20356436.499002,-2635.9109564531336,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.00010256766746147283,-0.00010256766746147283,0.0004437586221341938,274,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,live_cost_slip025_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.25,1.0,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,995665.7948728916,-0.004334205127108359,0.004334205127108359,-0.0912512539457756,0,856,856,30110271.032760587,-4334.205127108418,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00021124563576951916,-0.00021124563576951916,0.0007066527307737491,453,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,live_cost_slip025_buf075_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.25,0.75,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,995684.3004338256,-0.004315699566174391,0.004315699566174391,-0.09311181919024311,0,956,956,33016777.999016687,-4315.699566174569,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0002615932138596011,-0.0002615932138596011,0.0005670162214282959,509,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,live_cost_slip000_buf075_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.0,0.75,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,994947.6566974296,-0.005052343302570428,0.005052343302570428,-0.1085854254641091,0,1072,1072,37285682.49463959,-5052.343302570576,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00033835589965963697,-0.00033835589965963697,0.000620551830117444,559,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
