rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,GBPUSD USDJPY,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,998251.5976776399,-0.0017484023223600653,0.0019397894681876249,-0.06833468002599219,0,474,474,11849760.735106932,-1748.4023223613167,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-9.205857994609712e-05,-9.205857994609712e-05,0.0003652877664227505,230,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
2,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,GBPUSD USDJPY,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,998769.3278391083,-0.001230672160891677,0.0015005514839825373,-0.048509284513035635,0,359,359,8974733.768268786,-1230.6721608910407,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-6.485823590163253e-05,-6.485823590163253e-05,0.00026656525739932047,183,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
3,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,GBPUSD USDJPY,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,998074.7781537744,-0.0019252218462255666,0.002095236376568166,-0.07716922528916637,0,498,498,12449638.012836825,-1925.2218462267656,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-7.952685855094899e-05,-7.952685855094899e-05,0.0002792977593844004,249,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,GBPUSD USDJPY,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,997467.7772343543,-0.0025322227656456864,0.002696342157443188,-0.09486331756736723,0,654,654,16349990.070618616,-2532.2227656453665,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0001766204232623858,-0.0001766204232623858,0.00039363956163640523,330,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,GBPUSD USDJPY,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,996709.3868485437,-0.0032906131514564008,0.0034427965055744414,-0.1230818466274905,0,854,854,21350285.791409455,-3290.613151455819,0.0,1.0,0.0,0.0,1.0,-0.00022233644696878496,-0.00022233644696878496,0.0004105417902342534,426,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
