rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,strict_agree_true_8_21_h075_m050_s000_hold16,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.75,0.125,0.5,0.0,True,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1024532.0334861233,0.024532033486123206,0.006050902765283084,0.03970296691537423,100,86,86,57051953.44883131,24532.03348612315,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0018565983636079642,0.0018565983636079642,0.004052578596767331,47,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,strict_agree_false_8_21_h075_m050_s000_hold16,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.75,0.125,0.5,0.0,False,0.1,16,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1022838.1026225534,0.022838102622553258,0.007156008070442477,0.03555322290415576,100,110,110,71975866.18105863,22838.102622552957,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0018118673474496472,0.0018118673474496472,0.004075987633213929,67,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
3,live_agree_true_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1017483.769345692,0.017483769345691957,0.004565826668398998,0.03076341425458162,100,94,94,61320622.24571569,17483.76934569206,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
4,live_agree_false_8_21_h025_m035_s000_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,False,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1014789.0579797704,0.01478905797977026,0.004577895443082625,0.024618509782570512,100,122,122,78325295.4405858,14789.057979770783,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0025016818220426895,0.0025016818220426895,0.004078552595150997,71,REJECT,False,non-negative fold fraction 66.7% is below 70.0%
