rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,996980.3599361137,-0.0030196400638863308,0.003669867028708085,-0.04113350838656481,0,1099,1099,27457825.727143724,-3019.640063887347,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00025333243743497214,-0.00025333243743497214,0.000595167030241206,576,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
2,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,995727.5424777553,-0.004272457522244699,0.004834636936821846,-0.0569000472032759,0,1434,1434,35817159.1804016,-4272.457522245948,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0003312276582412843,-0.0003312276582412843,0.0007133853540394197,721,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
3,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,994092.5623664021,-0.005907437633597912,0.006368414291202273,-0.07941662357291723,0,1533,1533,38285362.46809615,-5907.437633597818,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00041082399194319885,-0.00041082399194319885,0.0007343929586514086,782,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,992855.9646274657,-0.007144035372534274,0.00748823302894186,-0.09069431079592394,0,1961,1961,48951230.93795233,-7144.035372535255,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0005503604369093695,-0.0005503604369093695,0.0009077845610643287,971,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,991148.368919665,-0.008851631080335043,0.009028311624566965,-0.11263678576216879,0,2561,2561,63903532.55626676,-8851.631080332114,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0007132287845878493,-0.0007132287845878493,0.0010696257149402921,1274,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
