rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,fast_strict_6_18_5_h2_m1_eff20_hold12,AUDUSD EURUSD USDCHF,6,18,5,2.0,,1.0,0.0,True,,,0.2,12,,100.0,1016286.8228607139,0.016286822860714034,0.003288102537734594,0.038368804572267996,100,52,52,35192840.990749024,16286.82286071346,0.75,0.75,1.0,1.0,0.0,0.0012035322272602178,0.001372195136447929,0.0025472954307286244,44,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,fast_slope_6_18_5_h2_m1_eff20_hold12_slope0_25,AUDUSD EURUSD USDCHF,6,18,5,2.0,,1.0,0.25,True,,,0.2,12,,100.0,1015335.2905654291,0.01533529056542915,0.0036128549123530806,0.03618277918032967,100,52,52,35193792.52304431,15335.290565428657,0.75,0.75,1.0,1.0,0.0,0.0008132293289244696,0.0012799220910817422,0.002549713665514264,44,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
3,fast_6_18_5_h1_m0_5_eff10_hold16,AUDUSD EURUSD USDCHF,6,18,5,1.0,,0.5,0.0,True,,,0.1,16,,100.0,1016368.9892976785,0.016368989297678382,0.003961429332387745,0.030320492342132452,100,78,78,52794471.42633294,16368.98929767784,0.75,0.875,0.8571428571428571,0.875,0.125,0.0012772221184987886,0.001441413701272598,0.003943637688320734,64,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
4,smooth_8_21_8_h2_m0_75_eff15_hold20,AUDUSD EURUSD USDCHF,8,21,8,2.0,,0.75,0.0,True,,,0.15,20,,100.0,1024007.2032473962,0.024007203247396136,0.004062942790540536,0.04322848780005752,100,70,70,45318439.440971226,24007.203247395882,0.625,0.75,0.8333333333333334,0.875,0.125,0.0013941894464115645,0.0030408283418399407,0.003009468292915818,52,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
5,strict_12_26_9_h3_m1_eff20_hold16,AUDUSD EURUSD USDCHF,12,26,9,3.0,,1.0,0.0,True,,,0.2,16,,100.0,1007218.9670540404,0.007218967054040348,0.004817719830422673,0.026453848116574495,100,16,16,9595133.321299408,7218.967054040399,0.25,0.375,0.6666666666666666,0.875,0.125,0.0,0.001559509745591825,0.0035126167705584743,16,PAPER_ONLY,False,largest positive fold contributes 83.6% of positive walk-forward return
6,baseline_12_26_9_h1_5_m0_5_eff10_hold24,AUDUSD EURUSD USDCHF,12,26,9,1.5,,0.5,0.0,True,,,0.1,24,,100.0,1003573.3850776723,0.003573385077672242,0.008173319354825459,0.008328578628948442,100,54,54,33575624.32817559,3573.3850776721556,0.375,0.875,0.42857142857142855,0.5,0.5,-0.0001608013482539139,-0.0003216026965078278,0.004267639956654579,50,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
