rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,USDCAD USDJPY,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,998285.2563317361,-0.0017147436682638517,0.001826265623443124,-0.09117246576573738,0,359,359,8975261.00162827,-1714.7436682637533,0.0,1.0,0.0,0.0,1.0,-6.694154939584918e-05,-6.694154939584918e-05,0.0002850192317030986,180,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
2,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,USDCAD USDJPY,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,998150.3541257123,-0.0018496458742877087,0.0019568823607952757,-0.09722317113125359,0,462,462,11550426.906866638,-1849.6458742878604,0.0,1.0,0.0,0.0,1.0,-0.00010734822770930297,-0.00010734822770930297,0.00023909631847307544,235,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
3,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,USDCAD USDJPY,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,997124.0074500513,-0.002875992549948747,0.0029071928483884735,-0.14945920993641088,0,663,663,16575478.440000538,-2875.992549948257,0.0,1.0,0.0,0.0,1.0,-0.0001354561922671249,-0.0001354561922671249,0.0003394011785949891,321,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
4,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,USDCAD USDJPY,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,997669.3290757812,-0.0023306709242187917,0.0024055306819423805,-0.12302994014660781,0,502,502,12550417.612809477,-2330.6709242194556,0.0,1.0,0.0,0.0,1.0,-0.00015098809416097536,-0.00015098809416097536,0.00037973490638909535,260,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
5,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,USDCAD USDJPY,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,996650.9583761973,-0.0033490416238027843,0.0033694342464926086,-0.17778925572005455,0,863,863,21575581.555090826,-3349.0416238019834,0.0,1.0,0.0,0.0,1.0,-0.00021066171223227403,-0.00021066171223227403,0.0003839705498240864,426,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
