rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,min_macd_bps,min_histogram_slope_bps,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,current_h025_m035_s005_eff08_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.35,0.05,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1018060.5901377528,0.018060590137752852,0.0045632515312111765,0.031811370188243863,100,90,90,59189851.091079235,18060.590137752773,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,slope_zero_h025_m035_eff08_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.35,0.0,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1017483.769345692,0.017483769345691957,0.004565826668398998,0.03076341425458162,100,94,94,61320622.24571569,17483.76934569206,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
3,slope_tiny_h025_m035_s002_eff08_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.35,0.02,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1017483.769345692,0.017483769345691957,0.004565826668398998,0.03076341425458162,100,94,94,61320622.24571569,17483.76934569206,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
4,looser_h020_m030_s000_eff06_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.2,0.3,0.0,0.06,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1012502.1782484051,0.01250217824840516,0.0067722716291689355,0.020749712072052198,100,102,102,67687722.49311832,12502.17824840523,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0011959062422748357,0.0011959062422748357,0.0029016467038666116,53,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
5,looser_h015_m025_s000_eff05_hold8,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.15,0.25,0.0,0.05,8,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1010944.1930424791,0.010944193042479178,0.010224095401688671,0.01902951366863691,100,112,112,73518001.5144736,10944.193042479867,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.002406759810868908,0.002406759810868908,0.0017939637263499897,59,REJECT,False,non-negative fold fraction 66.7% is below 70.0%
