rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_current_eff08,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,999371.6678098151,-0.0006283321901848771,0.0010063025400655068,-0.017926020679147326,0,200,200,8495523.191822175,-628.3321901847847,0.5,1.0,0.5,0.5,0.5,4.5609701043947126e-05,4.5609701043947126e-05,0.00019780836318561423,109,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,eff06_same_gates,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.06,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,998924.3241127984,-0.0010756758872015881,0.0013202123016899936,-0.02947306882271313,0,226,226,9486973.722475842,-1075.6758872025976,0.5,1.0,0.5,0.5,0.5,1.8985577190877567e-05,1.8985577190877567e-05,0.00026412294000666137,119,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
3,eff04_same_gates,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,998690.2548598318,-0.0013097451401682392,0.0016740517849856973,-0.03542510703417845,0,244,244,10184328.756628532,-1309.745140167373,0.5,1.0,0.5,0.5,0.5,-4.272782207381809e-06,-4.272782207381809e-06,0.0002983246658644356,124,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
4,eff03_same_gates,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.03,10,6|7|8|9|10|11|12|13|14|20|21|22,95.0,998340.1660121244,-0.001659833987875614,0.0017555509771374211,-0.044672945127549095,0,253,253,10483052.02383954,-1659.8339878749089,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-5.937296073654785e-05,-5.937296073654785e-05,0.00029832345807934146,131,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
