rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,score3_5_hold16_64,AUDUSD EURGBP USDCHF USDJPY,4,16,48,3.5,0.2,4.0,2.5,0.75,16,64,5.0,95.0,998822.1778448715,-0.0011778221551285162,0.0015179717772267898,-0.029340008263047255,0,480,480,11999975.21427574,-1177.822155128446,0.5,1.0,0.5,0.5,0.5,-2.666258762340501e-05,-2.666258762340501e-05,0.00048612151329074926,241,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,score4_hyper_filter,AUDUSD EURGBP USDCHF USDJPY,5,20,60,4.0,0.25,4.5,3.0,0.85,16,64,4.0,95.0,999072.0736358237,-0.0009279263641763791,0.001282929345351902,-0.025071355485778365,0,368,368,9199799.103825495,-927.9263641766644,0.5,1.0,0.5,0.5,0.5,-6.878089542960986e-05,-6.878089542960986e-05,0.00043433259831970883,191,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
3,hyper_filtered_s3_00_hold4_20,AUDUSD EURGBP USDCHF USDJPY,4,12,36,3.0,0.25,3.75,2.25,0.7,4,20,5.0,95.0,997198.6668733128,-0.0028013331266871777,0.0029484573208748976,-0.07000737767675008,0,893,893,22325101.85585083,-2801.3331266863306,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0001832383862439002,-0.0001832383862439002,0.00036911450303545035,460,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_pressure4,AUDUSD EURGBP USDCHF USDJPY,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,997535.2526878134,-0.0024647473121865993,0.002738042094683202,-0.0529253309849013,0,901,901,22524927.57000708,-2464.747312185903,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00019004515334364314,-0.00019004515334364314,0.00048369240360868204,459,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,score3_short_exit,AUDUSD EURGBP USDCHF USDJPY,3,10,30,3.0,0.3,3.5,2.0,0.65,4,24,6.0,95.0,996870.2908148277,-0.0031297091851723025,0.0032703326792120624,-0.08099207060034458,0,949,949,23724836.910219677,-3129.7091851721043,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0002270898209120742,-0.0002270898209120742,0.00044319923104141346,498,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
6,score3_hold8_36,AUDUSD EURGBP USDCHF USDJPY,3,10,30,3.0,0.2,3.5,2.0,0.55,8,36,8.0,95.0,996611.4088877164,-0.003388591112283623,0.0035364163312963104,-0.07996248584699582,0,918,918,22949966.62458837,-3388.5911122822754,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0002864841454551792,-0.0002864841454551792,0.00048049289117435556,484,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
7,current_pressure4,AUDUSD EURGBP USDCHF USDJPY,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,993982.5065764183,-0.00601749342358171,0.00612474389720985,-0.1245300826855691,0,1692,1692,42300275.75114044,-6017.493423582223,0.0,1.0,0.0,0.0,1.0,-0.00040872429285437883,-0.00040872429285437883,0.000655948681520302,858,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
