rank,label,symbols,kalman_trend_weight,asset_adaptive_dual_squeeze_weight,dual_squeeze_weight,trend_pullback_weight,fixing_reversal_weight,macd_momentum_weight,entry_score,strong_lead_score,conflict_penalty,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_median_test_sharpe_15m,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,wf_largest_positive_fold_contribution,promotion_status,promotion_live_ready,promotion_reason
1,gbpusd_current,GBPUSD,0.7,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.7,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
2,gbpusd_entry035_conf050,GBPUSD,0.7,0.3,0.0,0.0,0.0,0.0,0.35,0.35,0.5,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
3,gbpusd_kalman_heavy_entry035,GBPUSD,0.85,0.15,0.0,0.0,0.0,0.0,0.35,0.35,0.5,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
4,gbpusd_squeeze_heavy_entry035,GBPUSD,0.5,0.5,0.0,0.0,0.0,0.0,0.35,0.35,0.5,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
5,gbpusd_with_macd_entry035,GBPUSD,0.6,0.25,0.0,0.0,0.0,0.15,0.35,0.35,0.5,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
6,gbpusd_aggr_entry025,GBPUSD,0.6,0.25,0.0,0.0,0.0,0.15,0.25,0.25,0.45,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
