rank,label,candidate_signature,strategy_map,windows_seen,statuses,promote_count,paper_only_count,reject_count,consensus_status,all_live_ready,min_return_pct,max_drawdown_pct,min_wf_positive_fold_fraction,min_wf_active_positive_fold_fraction,min_wf_non_negative_fold_fraction
1,fast_6_18_5_h1_m0_5_eff10_hold16,fast_6_18_5_h1_m0_5_eff10_hold16 fast_window=6 slow_window=18 signal_window=5 min_histogram_bps=1.0 min_macd_bps=0.5 min_histogram_slope_bps=0.0 min_trend_efficiency=0.1 max_holding_period=16,,W480|W672|W960,PROMOTE|PROMOTE|PAPER_ONLY,2,1,0,PAPER_ONLY,False,0.016368989297678382,0.003961429332387745,0.6666666666666666,0.6666666666666666,0.8333333333333334
2,smooth_8_21_8_h2_m0_75_eff15_hold20,smooth_8_21_8_h2_m0_75_eff15_hold20 fast_window=8 slow_window=21 signal_window=8 min_histogram_bps=2.0 min_macd_bps=0.75 min_histogram_slope_bps=0.0 min_trend_efficiency=0.15 max_holding_period=20,,W480|W672|W960,PAPER_ONLY|PAPER_ONLY|PAPER_ONLY,0,3,0,PAPER_ONLY,False,0.024007203247396136,0.004062942790540536,0.5555555555555556,0.7142857142857143,0.7777777777777778
3,fast_strict_6_18_5_h2_m1_eff20_hold12,fast_strict_6_18_5_h2_m1_eff20_hold12 fast_window=6 slow_window=18 signal_window=5 min_histogram_bps=2.0 min_macd_bps=1.0 min_histogram_slope_bps=0.0 min_trend_efficiency=0.2 max_holding_period=12,,W480|W672|W960,PROMOTE|PROMOTE|PAPER_ONLY,2,1,0,PAPER_ONLY,False,0.016286822860714034,0.003288102537734594,0.5,0.6,0.8333333333333334
4,fast_slope_6_18_5_h2_m1_eff20_hold12_slope0_25,fast_slope_6_18_5_h2_m1_eff20_hold12_slope0_25 fast_window=6 slow_window=18 signal_window=5 min_histogram_bps=2.0 min_macd_bps=1.0 min_histogram_slope_bps=0.25 min_trend_efficiency=0.2 max_holding_period=12,,W480|W672|W960,PROMOTE|PROMOTE|PAPER_ONLY,2,1,0,PAPER_ONLY,False,0.01533529056542915,0.0036128549123530806,0.5,0.6,0.8333333333333334
5,strict_12_26_9_h3_m1_eff20_hold16,strict_12_26_9_h3_m1_eff20_hold16 fast_window=12 slow_window=26 signal_window=9 min_histogram_bps=3.0 min_macd_bps=1.0 min_histogram_slope_bps=0.0 min_trend_efficiency=0.2 max_holding_period=16,,W480|W672|W960,PAPER_ONLY|PAPER_ONLY|PAPER_ONLY,0,3,0,PAPER_ONLY,False,0.007218967054040348,0.004817719830422673,0.2222222222222222,0.6666666666666666,0.8333333333333334
6,baseline_12_26_9_h1_5_m0_5_eff10_hold24,baseline_12_26_9_h1_5_m0_5_eff10_hold24 fast_window=12 slow_window=26 signal_window=9 min_histogram_bps=1.5 min_macd_bps=0.5 min_histogram_slope_bps=0.0 min_trend_efficiency=0.1 max_holding_period=24,,W480|W672|W960,REJECT|REJECT|REJECT,0,0,3,REJECT,False,0.003573385077672242,0.008173319354825459,0.3333333333333333,0.3333333333333333,0.3333333333333333
