fold,train_start,train_end,test_start,test_end,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,evaluation_fills,full_run_fills,final_equity
1,2026-05-11T00:00:00+00:00,2026-05-24T23:15:00+00:00,2026-05-24T23:30:00+00:00,2026-05-26T23:15:00+00:00,0.0,0.0,0.0,100,0,453,948595.1734976288
2,2026-05-13T00:00:00+00:00,2026-05-26T23:15:00+00:00,2026-05-26T23:30:00+00:00,2026-05-28T23:15:00+00:00,0.0,0.0,0.0,100,0,372,949818.6377529899
3,2026-05-15T00:00:00+00:00,2026-05-28T23:15:00+00:00,2026-05-28T23:30:00+00:00,2026-06-01T23:00:00+00:00,0.0,0.0,0.0,100,0,270,946037.2510715573
4,2026-05-18T23:45:00+00:00,2026-06-01T23:00:00+00:00,2026-06-01T23:15:00+00:00,2026-06-03T23:00:00+00:00,0.0,0.0,0.0,100,0,298,949101.2022831166
5,2026-05-20T23:45:00+00:00,2026-06-03T23:00:00+00:00,2026-06-03T23:15:00+00:00,2026-06-07T22:45:00+00:00,0.0,0.0,0.0,100,0,319,949081.4230827697
6,2026-05-24T23:30:00+00:00,2026-06-07T22:45:00+00:00,2026-06-07T23:00:00+00:00,2026-06-09T22:45:00+00:00,0.0,0.0,0.0,100,0,458,949150.341606606
