rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,AUDUSD GBPUSD,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,999578.6313169948,-0.000421368683005241,0.001384679445840864,-0.010808049915481854,0,368,368,9198911.636978656,-421.36868300522235,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.00014959492277388797,-0.00014959492277388797,0.00033242437055869267,204,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
2,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,AUDUSD GBPUSD,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,998780.7180457573,-0.0012192819542427014,0.001743333939194791,-0.03172339408032804,0,488,488,12198602.17277845,-1219.2819542425095,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.0001704506228745184,-0.0001704506228745184,0.00037854849970497817,250,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,AUDUSD GBPUSD,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,998561.9688640683,-0.0014380311359317721,0.0020425019024996605,-0.037627763054853096,0,510,510,12748555.967511687,-1438.031135931203,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-8.199238422584854e-05,-8.199238422584854e-05,0.0003605405213704671,260,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,AUDUSD GBPUSD,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,997288.2189426332,-0.002711781057366802,0.0030504868854652756,-0.06577240549471498,0,852,852,21299506.21173358,-2711.7810573666775,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.000182036507221095,-0.000182036507221095,0.0004530709993941784,434,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,AUDUSD GBPUSD,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,997719.3903214445,-0.0022806096785554786,0.0027172732674314304,-0.05598533456049994,0,666,666,16649533.256796729,-2280.6096785551335,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00018574041257513052,-0.00018574041257513052,0.00044311337536551143,348,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
