rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,micro_h005_m005_eff04_hold6,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.05,0.02,0.05,0.0,True,1.0,1.0,0.04,6,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1013057.1018741663,0.01305710187416631,0.01104935676731944,0.020988894408831903,100,134,134,89998347.6189299,13057.101874165954,0.5714285714285714,0.9285714285714286,0.6153846153846154,0.7142857142857143,0.2857142857142857,0.0003429196206841123,0.00046309858862314535,0.0086876071021047,120,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
2,micro_h005_m015_eff04_hold6,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.05,0.02,0.15,0.0,True,1.0,1.0,0.04,6,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1013057.1018741663,0.01305710187416631,0.01104935676731944,0.020988894408831903,100,134,134,89998347.6189299,13057.101874165954,0.5714285714285714,0.9285714285714286,0.6153846153846154,0.7142857142857143,0.2857142857142857,0.0003429196206841123,0.00046309858862314535,0.0086876071021047,120,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
3,micro_h010_m015_eff04_hold6,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.1,0.04,0.15,0.0,True,1.0,1.0,0.04,6,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1013057.1018741663,0.01305710187416631,0.01104935676731944,0.020988894408831903,100,134,134,89998347.6189299,13057.101874165954,0.5714285714285714,0.9285714285714286,0.6153846153846154,0.7142857142857143,0.2857142857142857,0.0003429196206841123,0.00046309858862314535,0.0086876071021047,120,PAPER_ONLY,False,"selective walk-forward gates passed, but live promotion needs 67.0% total positive folds and 67.0% active positive folds"
4,live_current_h025_m035_eff04_hold10,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1011109.6683314572,0.011109668331457101,0.011759144579079894,0.01740201763549708,100,114,114,76138484.481188,11109.668331457218,0.5,0.9285714285714286,0.5384615384615384,0.5714285714285714,0.4285714285714286,0.00022921465939629293,0.00045842931879258586,0.009045667006216118,100,REJECT,False,non-negative fold fraction 57.1% is below 70.0%
