rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,live_current_aud,AUDUSD,8,21,8,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
2,eff03_aud,AUDUSD,8,21,8,0.25,0.125,0.35,0.0,True,1.0,1.0,0.03,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
3,h020_eff04_aud,AUDUSD,8,21,8,0.2,0.1,0.35,0.0,True,1.0,1.0,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
4,h020_eff03_aud,AUDUSD,8,21,8,0.2,0.1,0.35,0.0,True,1.0,1.0,0.03,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
5,fast6_livegates_aud,AUDUSD,6,18,5,0.25,0.125,0.35,0.0,True,1.0,1.0,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
6,fast6_eff03_aud,AUDUSD,6,18,5,0.25,0.125,0.35,0.0,True,1.0,1.0,0.03,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1000000.0,0.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,REJECT,False,strategy produced no active fixed-warmup evaluation folds
