rank,label,symbols,kalman_trend_weight,asset_adaptive_dual_squeeze_weight,dual_squeeze_weight,trend_pullback_weight,fixing_reversal_weight,macd_momentum_weight,entry_score,strong_lead_score,conflict_penalty,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_median_test_sharpe_15m,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,wf_largest_positive_fold_contribution,promotion_status,promotion_live_ready,promotion_reason
1,asset_only_a100_e45_s20_c50,AUDUSD GBPUSD USDJPY,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.2,0.5,95.0,1000071.855368377,7.185536837694961e-05,0.0002501465242609191,0.004880815287765188,0,44,44,2200252.805611196,71.85536837686078,0.5,0.8333333333333334,0.6,0.6666666666666666,0.33333333333333337,1.0230083103968113e-06,2.0460166207936226e-06,0.0014411867107298284,4.6100267718673926e-05,12,0.6102099325569422,REJECT,False,non-negative fold fraction 66.7% is below 70.0%
2,asset_heavy_k40_a60_e45_s25_c65,AUDUSD GBPUSD USDJPY,0.4,0.6,0.0,0.0,0.0,0.0,0.45,0.25,0.65,95.0,999271.4756948417,-0.0007285243051582402,0.0011923982754370455,-0.026995042463413728,0,129,129,6096126.780068997,-728.5243051578955,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-1.6925002443046733e-05,-1.6925002443046733e-05,-0.013094286580177522,0.0002428621892619498,48,0.8319141992197318,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,loose_asset_k50_a50_e35_s20_c60,AUDUSD GBPUSD USDJPY,0.5,0.5,0.0,0.0,0.0,0.0,0.35,0.2,0.6,95.0,999267.2956507633,-0.000732704349236668,0.0011921706256285969,-0.02722563724491581,0,129,129,6096131.082782659,-732.7043492358545,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-1.6925020470293095e-05,-1.6925020470293095e-05,-0.013094304383599946,0.00024286218926183878,48,0.8302729109399791,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
4,asset_plus_dual_k50_a35_d15_e45_s25_c65,AUDUSD GBPUSD USDJPY,0.5,0.35,0.15,0.0,0.0,0.0,0.45,0.25,0.65,95.0,999267.2956507633,-0.000732704349236668,0.0011921706256285969,-0.02722563724491581,0,129,129,6096131.082782659,-732.7043492358545,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-1.6925020470293095e-05,-1.6925020470293095e-05,-0.013094304383599946,0.00024286218926183878,48,0.8302729109399791,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
5,live_current_k70_a30_e50_s50_c70,AUDUSD GBPUSD USDJPY,0.7,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.7,95.0,999129.6294342352,-0.0008703705657648886,0.0013135995989997928,-0.03898922290992665,0,90,90,4197085.176629097,-870.3705657639879,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-9.583720997607958e-05,-9.583720997607958e-05,-0.05390417786171349,0.00021625722411589,38,1.0,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
