rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,EURUSD,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,999223.354087496,-0.000776645912504037,0.0009810284828325466,-0.045897295807403184,0,252,252,6299668.4248084035,-776.6459125039335,0.5,1.0,0.5,0.5,0.5,-1.976533986508544e-05,-1.976533986508544e-05,0.00016858530598995447,122,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,EURUSD,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,999147.184178928,-0.0008528158210719949,0.0010084283553967177,-0.051317421237223985,0,258,258,6449541.425656427,-852.815821072009,0.5,1.0,0.5,0.5,0.5,-2.486637707804773e-05,-2.486637707804773e-05,0.0001671450806621788,128,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
3,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,EURUSD,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,998961.5026456494,-0.001038497354350687,0.001178558319553935,-0.061249923744611495,0,321,321,8024825.562073823,-1038.497354350882,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-7.556261676006093e-05,-7.556261676006093e-05,0.00018377027761096176,156,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
4,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,EURUSD,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,998509.6795729006,-0.0014903204270994008,0.0015443799074630338,-0.08875363892791233,0,437,437,10924929.142126832,-1490.3204270999115,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.0001253066481527454,-0.0001253066481527454,0.0002378014793774641,216,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
5,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,EURUSD,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,999505.1252049711,-0.0004948747950289656,0.0006643568015523016,-0.030531698879378927,0,187,187,4674703.8829397205,-494.8747950292236,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-2.83034785250047e-05,-2.83034785250047e-05,0.00014265504761545866,96,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
