rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,996980.1203920633,-0.003019879607936704,0.0036711533837346932,-0.041109336216921005,0,1099,1099,27474282.884886753,-3019.8796079362037,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0002534375701256364,-0.0002534375701256364,0.0005958510390112748,576,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
2,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,995723.4453929728,-0.00427655460702725,0.0048389096251939545,-0.05690094586356743,0,1434,1434,35849355.57833515,-4276.5546070285145,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00033133536976293065,-0.00033133536976293065,0.0007145101740799742,721,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
3,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,994088.6862832275,-0.005911313716772448,0.006371891889085823,-0.0793866128454554,0,1533,1533,38323947.09936135,-5911.31371677166,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0004111092227368496,-0.0004111092227368496,0.0007352122461877775,782,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,992850.1167022735,-0.007149883297726478,0.007494130982757863,-0.09062173145558516,0,1961,1961,49025004.20257215,-7149.883297725115,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.000550910692184492,-0.000550910692184492,0.0009085536331816524,971,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,AUDUSD EURUSD GBPUSD USDCAD USDCHF USDJPY,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,991137.7982558612,-0.008862201744138876,0.009039688090101472,-0.11253177969693266,0,2561,2561,64025418.85750753,-8862.201744137106,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.0007153025070889552,-0.0007153025070889552,0.001072584606101934,1274,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
