rank,label,symbols,fast_lookback,slow_lookback,volatility_lookback,baseline_volatility_lookback,min_fast_move_bps,min_slow_move_bps,min_trend_efficiency,min_volatility_ratio,max_volatility_ratio,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,prod_6_24_hold12,GBPUSD USDCAD USDCHF,6,24,12,48,2.0,5.0,0.25,0.35,2.5,12,10|11|12|13|14,100.0,1003516.6256132217,0.0035166256132217466,0.005640774128510273,0.011243456721199715,100,96,96,59697173.54631378,3516.6256132216486,0.5,1.0,0.5,0.5,0.5,0.0002835296015843425,0.0002835296015843425,0.002981554725232205,58,REJECT,False,non-negative fold fraction 50.0% is below 70.0%
2,gbp_10_40_strict,GBPUSD USDCAD USDCHF,10,40,16,64,3.5,8.0,0.35,0.4,2.0,16,10|11|12|13|14,100.0,999730.1442025782,-0.0002698557974217808,0.0009065317647528603,-0.005005194645190778,100,8,8,4266932.305162617,-269.8557974219211,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.16666666666666663,0.0,-0.0001348875893610324,0.0007940854255544805,8,REJECT,False,median active test return -0.013% is not above 0.000%
3,prod_6_24_current,GBPUSD USDCAD USDCHF,6,24,12,48,2.0,5.0,0.25,0.35,2.5,24,10|11|12|13|14,100.0,1003480.4397305639,0.003480439730563889,0.005640774128510273,0.010664479640897537,100,98,98,61297823.933531016,3480.439730564014,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.00021881790758576658,-0.00021881790758576658,0.002981554725232205,60,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
4,current_hours_6_24,GBPUSD USDCAD USDCHF,6,24,12,48,2.0,5.0,0.25,0.35,2.5,24,6|7|8|9|10|11|12|13|14,100.0,990082.1173732331,-0.00991788262676696,0.014139935708211482,-0.024033287844589097,100,204,204,130865136.15474287,-9917.882626766936,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.0017959287455855955,-0.0017959287455855955,0.006633892643895467,120,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
5,tight_8_32_f35_s8,GBPUSD USDCAD USDCHF,8,32,16,64,3.5,8.0,0.35,0.4,2.0,16,6|7|8|9|10|11|12|13|14,100.0,994909.0711214746,-0.005090928878525358,0.008009365934791624,-0.03184709446978518,100,46,46,26127181.198720332,-5090.928878525939,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666667,-0.0006514283735430948,-0.0010533932119461964,0.003368420360929436,36,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
