rank,label,symbols,fast_window,slow_window,signal_window,min_histogram_bps,exit_histogram_bps,min_macd_bps,min_histogram_slope_bps,require_macd_histogram_agreement,slippage_bps,cost_buffer,min_trend_efficiency,max_holding_period,allowed_utc_hours,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,eff04_same_gates,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.04,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1011109.6683314572,0.011109668331457101,0.011759144579079894,0.01740201763549708,100,114,114,76138484.481188,11109.668331457218,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.003232779020865051,0.003232779020865051,0.002916165484764144,55,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
2,eff03_same_gates,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.03,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1008129.1431463481,0.008129143146348161,0.01395281182120267,0.012629861236999244,100,126,126,83510394.06586376,8129.143146348088,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0028755950749050907,0.0028755950749050907,0.003395004582823824,63,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
3,live_current_eff08,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.08,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1017483.769345692,0.017483769345691957,0.004565826668398998,0.03076341425458162,100,94,94,61320622.24571569,17483.76934569206,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0016457426307272538,0.0016457426307272538,0.002890892610685536,51,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
4,eff06_same_gates,AUDUSD EURUSD USDCAD USDCHF,8,21,8,0.25,0.125,0.35,0.0,True,,,0.06,10,6|7|8|9|10|11|12|13|14|20|21|22,100.0,1012502.1782484051,0.01250217824840516,0.0067722716291689355,0.020749712072052198,100,102,102,67687722.49311832,12502.17824840523,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.0011959062422748357,0.0011959062422748357,0.0029016467038666116,53,PROMOTE,True,"fixed-warmup return, drawdown, fold stability, and risk gates passed"
