rank,label,symbols,fast_lookback,medium_lookback,slow_lookback,min_score,exit_score,reverse_score,min_fast_move_bps,volatility_penalty,min_holding_period,max_holding_period,max_spread_bps,proxy_score,final_equity,return_pct,max_drawdown_pct,sharpe_15m,risk_discipline_score,trade_count,fills,turnover_notional,total_pnl_usd,wf_positive_fold_fraction,wf_active_fold_fraction,wf_active_positive_fold_fraction,wf_non_negative_fold_fraction,wf_losing_fold_fraction,wf_median_test_return_pct,wf_median_active_test_return_pct,wf_worst_test_drawdown_pct,wf_total_evaluation_fills,promotion_status,promotion_live_ready,promotion_reason
1,fast_but_filtered_3_10_30_s2_50_f2_00_v0_45_hold16_64,EURGBP GBPUSD,3,10,30,2.5,0.15,3.0,2.0,0.45,16,64,12.0,95.0,998634.5859223806,-0.0013654140776194756,0.0017080118538598255,-0.053762594086540876,0,491,491,12274514.62130654,-1365.414077619539,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-7.094058922468838e-05,-7.094058922468838e-05,0.000291782035363064,251,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
2,strict_4_12_32_s2_25_f1_75_v0_40_hold24_96,EURGBP GBPUSD,4,12,32,2.25,0.1,2.75,1.75,0.4,24,96,12.0,95.0,999089.6664826776,-0.0009103335173223925,0.0014873295387096697,-0.035177412971659806,0,454,454,11349612.285501815,-910.333517322096,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.0001106570797754225,-0.0001106570797754225,0.00033360638992474545,237,REJECT,False,non-negative fold fraction 33.3% is below 70.0%
3,selective_5_15_40_s2_75_f2_00_v0_50_hold24_120,EURGBP GBPUSD,5,15,40,2.75,0.15,3.25,2.0,0.5,24,120,12.0,95.0,999515.1697710727,-0.0004848302289273132,0.0013140356516464502,-0.01879099968194136,0,358,358,8949590.344744295,-484.83022892788915,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-5.512162487136818e-05,-5.512162487136818e-05,0.000280442950156945,191,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
4,strict_3_8_20_s2_00_f1_50_v0_35_hold20_90,EURGBP GBPUSD,3,8,20,2.0,0.1,2.5,1.5,0.35,20,90,12.0,95.0,998327.392550741,-0.0016726074492590115,0.0020649399041855476,-0.06305142692741512,0,623,623,15574865.928792464,-1672.6074492577918,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,-0.00014291247872816326,-0.00014291247872816326,0.0004074060056084017,326,REJECT,False,non-negative fold fraction 16.7% is below 70.0%
5,current_3_8_20_s1_20_f1_00_v0_25_hold15_90,EURGBP GBPUSD,3,8,20,1.2,0.05,2.0,1.0,0.25,15,90,12.0,95.0,997647.023115371,-0.002352976884628988,0.002733488709758203,-0.087363726004645,0,813,813,20325006.73090599,-2352.976884629219,0.0,1.0,0.0,0.0,1.0,-0.00015940315327278576,-0.00015940315327278576,0.00041915071136477966,418,REJECT,False,non-negative fold fraction 0.0% is below 70.0%
