timestamp,symbol,close
2026-05-11T00:00:00+00:00,EURUSD,1.1768200000
2026-05-11T00:15:00+00:00,EURUSD,1.1770650000
2026-05-11T00:30:00+00:00,EURUSD,1.1769550000
2026-05-11T00:45:00+00:00,EURUSD,1.1769950000
2026-05-11T01:00:00+00:00,EURUSD,1.1767950000
2026-05-11T01:15:00+00:00,EURUSD,1.1769050000
2026-05-11T01:30:00+00:00,EURUSD,1.1765100000
2026-05-11T01:45:00+00:00,EURUSD,1.1762950000
2026-05-11T02:00:00+00:00,EURUSD,1.1764000000
2026-05-11T02:15:00+00:00,EURUSD,1.1765300000
2026-05-11T02:30:00+00:00,EURUSD,1.1761900000
2026-05-11T02:45:00+00:00,EURUSD,1.1759250000
2026-05-11T03:00:00+00:00,EURUSD,1.1759000000
2026-05-11T03:15:00+00:00,EURUSD,1.1757300000
2026-05-11T03:30:00+00:00,EURUSD,1.1758850000
2026-05-11T03:45:00+00:00,EURUSD,1.1756650000
2026-05-11T04:00:00+00:00,EURUSD,1.1755550000
2026-05-11T04:15:00+00:00,EURUSD,1.1754450000
2026-05-11T04:30:00+00:00,EURUSD,1.1752450000
2026-05-11T04:45:00+00:00,EURUSD,1.1750600000
2026-05-11T05:00:00+00:00,EURUSD,1.1754050000
2026-05-11T05:15:00+00:00,EURUSD,1.1752500000
2026-05-11T05:30:00+00:00,EURUSD,1.1751050000
2026-05-11T05:45:00+00:00,EURUSD,1.1750050000
2026-05-11T06:00:00+00:00,EURUSD,1.1757450000
2026-05-11T06:15:00+00:00,EURUSD,1.1759100000
2026-05-11T06:30:00+00:00,EURUSD,1.1761950000
2026-05-11T06:45:00+00:00,EURUSD,1.1767600000
2026-05-11T07:00:00+00:00,EURUSD,1.1767400000
2026-05-11T07:15:00+00:00,EURUSD,1.1771350000
2026-05-11T07:30:00+00:00,EURUSD,1.1771150000
2026-05-11T07:45:00+00:00,EURUSD,1.1772050000
2026-05-11T08:00:00+00:00,EURUSD,1.1775900000
2026-05-11T08:15:00+00:00,EURUSD,1.1779850000
2026-05-11T08:30:00+00:00,EURUSD,1.1775450000
